file_name,compound_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil
PVAP_4-methyl-3-heptene.tab,4-methyl-3-heptene,14.904682,3373.09959805,-49.72747942,72.41433505,-9019.92833015,0.0,0.0,-7.74911799,294990.0,-2.0,0.71005635,0.26242244,377.6474882220458
PVAP_4-methyl-3-penten-2-one.tab,4-methyl-3-penten-2-one,14.26032015,3426.09223569,-50.38969803,61.41627979,-8000.16081775,0.0,0.0,-6.36161219,186270.0,-2.0,0.83954717,0.19411803,405.72021690438174
PVAP_4-methyl-4-heptanol.tab,4-methyl-4-heptanol,14.39060308,3320.25689827,-104.21424478,39.60136398,-4011.72370885,0.0,0.0,-3.65642166,-718660.0,-2.0,0.7991478,0.27060059,443.9773632471496
PVAP_4-methyl-5-thiazoleethanol.tab,4-methyl-5-thiazoleethanol,14.31451811,4322.303779,-105.82404573,34.3132105,-3781.20754442,0.0,0.0,-3.05911633,-1104100.0,-2.0,1.21180016,0.19623882,551.5976986530063
PVAP_4-methyl-5-vinylthiazole.tab,4-methyl-5-vinylthiazole,14.71908584,4121.13853351,-54.33807918,66.82430366,-9090.74780036,0.0,0.0,-7.04076302,142140.0,-2.0,1.10494829,0.18814191,462.3411923317521
PVAP_4-methyl-benzoicacid.tab,4-methyl-benzoicacid,14.22973008,4248.71119602,-98.40298604,50.32685586,-5906.28501874,0.0,0.0,-5.13732018,-740770.0,-2.0,1.1376978,0.19871726,540.4522778251497
PVAP_4-methyl-benzoicacidmethylester.tab,4-methyl-benzoicacidmethylester,15.02381737,4981.79731891,-45.4077542,74.30877947,-10767.09422951,0.0,0.0,-7.99288934,236410.0,-2.0,1.05809103,0.23568108,524.1742608190575
PVAP_4-methyl-cyclohexane-methanol.tab,4-methyl-cyclohexane-methanol,14.10955191,3493.38933276,-106.91335358,41.32953108,-4110.16722809,0.0,0.0,-3.96798144,-812950.0,-2.0,0.91040987,0.23385335,474.9787653445437
PVAP_4-methyl-n-(4-methylphenyl)sulfonyl-benzenesulfonamide.tab,4-methyl-n-(4-methylphenyl)sulfonyl-benzenesulfonamide,17.01054348,10080.11135102,-47.86339032,117.11149573,-19659.04217844,0.0,0.0,-13.52198122,231450.0,-2.0,1.29613276,0.41689298,861.2865893219582
PVAP_4-methyl-nonane.tab,4-methyl-nonane,15.69892672,4123.82945089,-51.11326393,87.60296915,-11172.70757556,0.0,0.0,-9.69015891,363530.0,-2.0,0.71833056,0.32890967,423.2801007711335
PVAP_4-methyl-pent-4-en-2-ol.tab,4-methyl-pent-4-en-2-ol,13.80395284,2910.2333292,-91.53794392,29.27776492,-3453.15389687,0.0,0.0,-2.22247729,-472950.0,-2.0,0.81409564,0.20429875,408.362876210781
PVAP_4-methyl-pentylamine.tab,4-methyl-pentylamine,14.41302864,3208.9484343,-68.20353684,58.13055034,-7176.97542466,0.0,0.0,-5.93558171,19319.28124014,-2.0,0.7673963,0.21896242,395.8245889648356
PVAP_4-methyl-trans-2-pentene.tab,4-methyl-trans-2-pentene,14.26270723,2654.2217901,-50.62066217,60.42616421,-7179.76721696,0.0,0.0,-6.22139145,234910.0,-2.0,0.67366016,0.20745035,325.82999916578825
PVAP_4-methyl-trans-crotonicacidnitrile.tab,4-methyl-trans-crotonicacidnitrile,14.69895025,4282.49997766,-52.1051614,66.24765659,-9212.62028245,0.0,0.0,-6.96385666,144230.0,-2.0,0.93400839,0.17265838,476.9303427100482
PVAP_4-methylacetanilide.tab,4-methylacetanilide,15.24945918,5642.64781726,-66.20490024,73.25744623,-10716.71223182,0.0,0.0,-7.90328754,-121910.0,-2.0,1.07687299,0.23005201,596.9716142538192
PVAP_4-methylacetophenone.tab,4-methylacetophenone,14.90094474,4823.19763738,-45.50703325,71.54052096,-10344.9394297,0.0,0.0,-7.63697396,220540.0,-2.0,0.99995735,0.22281386,514.5705202566768
PVAP_4-methylaminobenzoicacid.tab,4-methylaminobenzoicacid,14.69819527,5736.07118313,-92.56821904,58.14168206,-7880.50372473,0.0,0.0,-6.15975369,-877460.0,-2.0,1.19816067,0.20949831,661.6306851387014
PVAP_4-methylaniline.tab,4-methylaniline,14.46793921,4209.5939923,-57.27139304,61.02654683,-8545.57748952,0.0,0.0,-6.30579367,49305.0721141,-2.0,0.99023271,0.17968797,484.6584353520608
PVAP_4-methylanisole.tab,4-methylanisole,14.64110138,4140.60994072,-46.3691173,67.25087517,-9278.09498605,0.0,0.0,-7.09249934,220090.0,-2.0,0.96380014,0.21047931,459.48951028958686
PVAP_4-methylbenzaldehyde.tab,4-methylbenzaldehyde,14.61181843,4416.23772129,-46.40606762,66.22066792,-9433.41042408,0.0,0.0,-6.96061005,191010.0,-2.0,1.01005059,0.19752725,488.3177338209397
PVAP_4-methylbenzamide.tab,4-methylbenzamide,15.09472864,5778.56565186,-74.21634373,72.72217462,-10460.3427138,0.0,0.0,-7.90320719,-296740.0,-2.0,1.12937704,0.19873341,625.7959084566528
PVAP_4-methylbenzeneacetaldehyde.tab,4-methylbenzeneacetaldehyde,14.98266431,4781.23410035,-46.32344117,72.64211846,-10397.78240295,0.0,0.0,-7.77514249,224920.0,-2.0,0.99707597,0.22345775,507.6396647569975
PVAP_4-methylbenzeneethanamine.tab,4-methylbenzeneethanamine,14.90575194,4676.86986553,-55.21646948,67.70547784,-9654.27685844,0.0,0.0,-7.14242315,91161.02288984,-2.0,0.9504828,0.2362132,509.83681411996895
PVAP_4-methylbenzeneethanol.tab,4-methylbenzeneethanol,13.98100267,3902.47347147,-98.14413487,15.30786426,-2244.95483561,0.0,0.0,-0.43432014,-965650.0,-2.0,0.98847935,0.22878761,514.9561853773922
PVAP_4-methylbenzenemethanamine.tab,4-methylbenzenemethanamine,14.63488818,4359.30224346,-54.9466195,63.10327652,-8924.56951774,0.0,0.0,-6.5571175,80090.27622252,-2.0,0.96732157,0.2080226,490.1563538050761
