,carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name
1008,50.38907388,907.77549194,0.97971449,0.52023106,9.37213119,0.06028353,16.25277057,1.00656364,90.66955373,0.01957061,0.1035815,9.33044627,0.01200286,1.63054348,0.03676889,4.01404438,0.0007149,8.00592536,874.00364562,0.92771361,0.00077061,"1,2,5-trimethylpyrrole","LIQEX_1,2,5-trimethylpyrrole_tc40.0_W1100.0.tab"
1009,44.66327175,804.62331143,0.99372786,6.24603319,112.5243117,0.45059074,2.20538964,0.25882953,23.31492685,0.00575878,0.85131561,76.68507315,0.06141417,0.09376967,0.02307302,2.6812063,0.00051336,6.76452763,786.0737737,0.48799509,0.00105198,"1,2-bis(1-methylethyl)hydrazine","LIQEX_1,2-bis(1-methylethyl)hydrazine_tc40.0_W1100.0.tab"
1010,50.86832315,916.40932286,0.97869989,0.04098179,0.73830027,0.00858049,114.06196082,1.10705734,99.72185612,0.02129964,0.0030878,0.27814388,0.0006465,32.94896708,2.4463e-05,0.00416858,4.7067e-07,4.73208905,806.34961142,0.990773,4.7506e-07,"1,2-bis(trimethylsilyl)acetylene","LIQEX_1,2-bis(trimethylsilyl)acetylene_tc40.0_W1100.0.tab"
1011,20.93378526,377.12892399,0.82472232,29.97551968,540.01869914,0.82472162,1.00000085,0.45648864,41.11972583,0.01798415,0.6536565,58.88027417,0.01798416,0.99999836,3.99255473,351.95138078,0.15729353,5.71705139,503.96907922,0.15729422,0.99999572,"1,2-butanediamine","LIQEX_1,2-butanediamine_tc40.0_W1100.0.tab"
1012,36.62465235,659.80497854,0.81278156,14.28465259,257.34264458,0.81277983,1.00000227,0.79864754,71.9408221,0.01772374,0.3114976,28.0591779,0.01772384,0.99999394,7.63758022,688.30980423,0.1694947,2.97890775,268.46348577,0.16949633,0.99998968,"1,2-butanediol","LIQEX_1,2-butanediol_tc40.0_W1100.0.tab"
1013,50.53496704,910.40380453,0.97939261,0.3743379,6.74381859,0.04130755,23.70971227,1.04247173,93.90409407,0.02020362,0.0676734,6.09590593,0.00746765,2.70565372,0.02083394,2.547024,0.00040377,8.6202031,1053.850776,0.9512248,0.00042448,"1,2-butanedithiol","LIQEX_1,2-butanedithiol_tc40.0_W1100.0.tab"
1014,47.72451319,859.77256784,0.97379011,3.18479175,57.37505529,0.19081746,5.10325285,0.70155764,63.19512792,0.01431486,0.4085875,36.80487208,0.02448061,0.58474301,0.58296383,49.01196545,0.01189503,13.09687398,1101.10354455,0.78470193,0.01515865,"1,2-cyclobutanedione","LIQEX_1,2-cyclobutanedione_tc40.0_W1100.0.tab"
1015,24.74115393,445.71990426,0.75954104,26.16815101,471.42771887,0.75954395,0.99999929,0.53953788,48.60066193,0.01656354,0.57060725,51.39933807,0.01656217,1.0000155,7.29312939,438.30669079,0.22389542,7.71369307,463.58196921,0.22389388,1.00000128,"1,2-diaminoethane","LIQEX_1,2-diaminoethane_tc40.0_W1100.0.tab"
1016,50.87436475,916.51816435,0.97866911,0.03494019,0.62945877,0.00519732,188.30315667,1.10855052,99.85635939,0.02132516,0.00159462,0.14364061,0.0002372,89.90527112,0.00029766,0.09693159,5.7261e-06,6.68619845,2177.31077841,0.99456548,5.7574e-06,"1,2-dibromo-1,1,2,2-tetrachloroethane","LIQEX_1,2-dibromo-1,1,2,2-tetrachloroethane_tc40.0_W1100.0.tab"
1017,50.87608525,916.54915962,0.97862113,0.03321969,0.5984635,0.00383732,255.02812555,1.10795204,99.80244923,0.02131188,0.0021931,0.19755077,0.00025333,84.12770684,0.00348265,0.90487262,6.699e-05,8.62159274,2240.09130738,0.99590935,6.7265e-05,"1,2-dibromo-1,1,2,2-tetrafluoroethane","LIQEX_1,2-dibromo-1,1,2,2-tetrafluoroethane_tc40.0_W1100.0.tab"
1018,50.42797855,908.47637228,0.97944571,0.48132639,8.67125085,0.04504686,21.74285334,1.01579614,91.50120148,0.01972947,0.094349,8.49879852,0.00883003,2.23427734,0.04246723,9.50597004,0.00082483,10.10933897,2262.89930996,0.94612311,0.0008718,"1,2-dibromo-1,1-difluoroethane","LIQEX_1,2-dibromo-1,1-difluoroethane_tc40.0_W1100.0.tab"
1019,50.11154388,902.77569917,0.98015755,0.79776106,14.37192396,0.06616299,14.81426847,0.93876336,84.56221865,0.01836176,0.17138178,15.43778135,0.01421369,1.29186357,0.07570178,15.58336273,0.00148069,11.08836849,2282.56287727,0.91962331,0.0016101,"1,2-dibromo-1-fluoroethane","LIQEX_1,2-dibromo-1-fluoroethane_tc40.0_W1100.0.tab"
1020,50.56323033,910.91297693,0.97871424,0.34607461,6.2346462,0.0284273,34.42869066,1.0548036,95.01492821,0.02041704,0.05534153,4.98507179,0.00454587,4.49137781,0.044881,8.43141463,0.00086873,11.77260674,2211.62012537,0.96702683,0.00089835,"1,2-dibromoethane","LIQEX_1,2-dibromoethane_tc40.0_W1100.0.tab"
1021,50.70864936,913.53274777,0.97875301,0.20065558,3.61487536,0.0203091,48.19287506,1.08170489,97.43815099,0.02087853,0.02844024,2.56184901,0.00287854,7.25327325,0.0190901,3.85406697,0.00036847,9.65098862,1948.42093303,0.97681236,0.00037721,"1,2-dibromopropane","LIQEX_1,2-dibromopropane_tc40.0_W1100.0.tab"
