Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,Compound 2,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-undecanol,lacticacid,0.96665532,4.3952e-06,0.03334029,0.08849533,0.89637411,0.01513056
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-undecanol,lacticacid,0.95645709,5.8953e-06,0.04353702,0.08882107,0.89163457,0.01954435
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-undecanol,lacticacid,0.99933202,1.5697e-06,0.00066641,0.08931488,0.91030805,0.00037707
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-undecanol,lacticacid,0.99866018,1.608e-06,0.00133821,0.08936179,0.90988218,0.00075604
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-undecanol,lacticacid,0.99730011,1.6879e-06,0.0026982,0.08945588,0.90902439,0.00151973
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-undecanol,lacticacid,0.99308437,1.9576e-06,0.00691367,0.08974039,0.90640139,0.00385822
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-undecanol,lacticacid,0.98557548,2.5284e-06,0.01442199,0.09022177,0.90185517,0.00792305
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-undecanol,lacticacid,0.97740256,3.3034e-06,0.02259413,0.09071522,0.89706812,0.01221666
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-undecanol,lacticacid,0.96848607,4.3679e-06,0.03150956,0.091214,0.89202122,0.01676478
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-undecanol,lacticacid,0.95873606,5.847e-06,0.04125809,0.09171927,0.88668112,0.02159962
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-undecanol,lacticacid,0.99937285,1.642e-06,0.00062551,0.09203097,0.90755653,0.0004125
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-undecanol,lacticacid,0.998742,1.6808e-06,0.00125632,0.09209272,0.90708027,0.00082701
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-undecanol,lacticacid,0.99746414,1.7617e-06,0.0025341,0.09221668,0.90612121,0.00166211
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-undecanol,lacticacid,0.99349672,2.0341e-06,0.00650125,0.0925921,0.90319057,0.00421734
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-undecanol,lacticacid,0.98640626,2.6101e-06,0.01359113,0.09322957,0.89811896,0.00865146
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-undecanol,lacticacid,0.97865517,3.3912e-06,0.02134144,0.09388514,0.89279134,0.01332352
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-undecanol,lacticacid,0.97016051,4.4644e-06,0.02983503,0.09455041,0.88719191,0.01825769
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-undecanol,lacticacid,0.96082911,5.9574e-06,0.03916493,0.09523059,0.88128429,0.02348511
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-decanone,lacticacid,0.99932012,2.0674e-05,0.00065921,0.04152182,0.95811524,0.00036294
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-decanone,lacticacid,0.99865597,2.1062e-05,0.00132297,0.04166231,0.95760938,0.00072831
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-decanone,lacticacid,0.99731378,2.1865e-05,0.00266436,0.04194562,0.95658793,0.00146645
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-decanone,lacticacid,0.99317269,2.4501e-05,0.00680281,0.04281485,0.953443,0.00374215
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-decanone,lacticacid,0.98586514,2.9782e-05,0.01410508,0.04433776,0.94790755,0.00775469
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-decanone,lacticacid,0.97800173,3.6464e-05,0.0219618,0.0459548,0.9419733,0.01207191
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-decanone,lacticacid,0.96952065,4.4984e-05,0.03043436,0.04768622,0.93557757,0.0167362
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-decanone,lacticacid,0.9603491,5.5944e-05,0.03959496,0.04953951,0.92866416,0.02179634
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-decanone,lacticacid,0.99936006,1.8397e-05,0.00062155,0.04374095,0.95586034,0.00039871
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-decanone,lacticacid,0.99873368,1.8739e-05,0.00124758,0.04389971,0.95530038,0.00079992
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-decanone,lacticacid,0.99746725,1.9448e-05,0.00251331,0.04421965,0.95417041,0.00160995
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-decanone,lacticacid,0.99355499,2.1777e-05,0.00642323,0.04519968,0.95069736,0.00410296
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-decanone,lacticacid,0.9866333,2.6453e-05,0.01334025,0.0469106,0.94460659,0.00848281
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-decanone,lacticacid,0.97915942,3.2393e-05,0.02080819,0.0487183,0.93810901,0.01317269
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-decanone,lacticacid,0.9710691,3.9999e-05,0.0288909,0.05064348,0.93114297,0.01821355
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-decanone,lacticacid,0.96228626,4.9837e-05,0.03766391,0.05269253,0.92365544,0.02365203
40.0,0.999,0,0.0010033,0,1.0,0,h2o,2-decanone,lacticacid,0.99939469,1.7094e-05,0.00058822,0.04640906,0.95316062,0.00043033
40.0,0.998,0,0.0020129,0,1.0,0,h2o,2-decanone,lacticacid,0.99880175,1.7409e-05,0.00118084,0.04658506,0.95255171,0.00086323
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-decanone,lacticacid,0.99760242,1.8059e-05,0.00237952,0.04693962,0.95132352,0.00173686
40.0,0.9897,0,0.0103,0,1.0,0,h2o,2-decanone,lacticacid,0.99389324,2.0198e-05,0.00608656,0.04802454,0.94755309,0.00442237
40.0,0.9787,0,0.0213,0,1.0,0,h2o,2-decanone,lacticacid,0.9873151,2.4499e-05,0.0126604,0.049914,0.94095759,0.00912841
40.0,0.9669,0,0.0331,0,1.0,0,h2o,2-decanone,lacticacid,0.98018923,2.9975e-05,0.01978079,0.051903,0.93394688,0.01415012
40.0,0.9543,0,0.0457,0,1.0,0,h2o,2-decanone,lacticacid,0.97244894,3.7012e-05,0.02751405,0.05401334,0.92645954,0.01952711
40.0,0.9407,0,0.0593,0,1.0,0,h2o,2-decanone,lacticacid,0.96401589,4.6148e-05,0.03593796,0.05625515,0.91843975,0.0253051
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-heptanol,lacticacid,0.99883393,0.00069773,0.00046834,0.30646465,0.6929327,0.00060265
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-heptanol,lacticacid,0.99835534,0.00070442,0.00094024,0.30673562,0.69205477,0.0012096
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-heptanol,lacticacid,0.99738697,0.00071811,0.00189492,0.30728174,0.69028164,0.00243662
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-heptanol,lacticacid,0.99438919,0.00076175,0.00484906,0.30895409,0.68482015,0.00622575
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-heptanol,lacticacid,0.98906058,0.00084412,0.0100953,0.31186834,0.67520686,0.0129248
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-heptanol,lacticacid,0.9832684,0.00094096,0.01579064,0.3149415,0.66490859,0.02014991
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-heptanol,lacticacid,0.97694779,0.00105574,0.02199647,0.31818625,0.65385209,0.02796166
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-heptanol,lacticacid,0.97002126,0.00119305,0.02878569,0.32161809,0.64195192,0.03642999
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-heptanol,lacticacid,0.99895316,0.00062678,0.00042006,0.29876857,0.70061241,0.00061902
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-heptanol,lacticacid,0.9985241,0.00063242,0.00084348,0.29905166,0.69970595,0.00124239
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-heptanol,lacticacid,0.99765552,0.00064394,0.00170053,0.29962798,0.69786963,0.00250239
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-heptanol,lacticacid,0.99496244,0.0006807,0.00435686,0.3013726,0.69223593,0.00639147
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-heptanol,lacticacid,0.99015961,0.00075009,0.0090903,0.30440115,0.68233886,0.01325999
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-heptanol,lacticacid,0.98491532,0.00083176,0.01425292,0.30757849,0.67176438,0.02065714
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-heptanol,lacticacid,0.97916454,0.0009287,0.01990676,0.31092789,0.6604298,0.02864231
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-heptanol,lacticacid,0.97282831,0.00104495,0.02612674,0.31445891,0.64825777,0.03728332
40.0,0.999,0,0.0010033,0,1.0,0,h2o,2-heptanol,lacticacid,0.99903919,0.0005797,0.0003811,0.29373404,0.7056335,0.00063246
40.0,0.998,0,0.0020129,0,1.0,0,h2o,2-heptanol,lacticacid,0.99865002,0.00058462,0.00076536,0.2940312,0.70469948,0.00126933
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-heptanol,lacticacid,0.99786185,0.00059467,0.00154349,0.29462931,0.70281424,0.00255645
40.0,0.9897,0,0.0103,0,1.0,0,h2o,2-heptanol,lacticacid,0.99541551,0.00062668,0.00395782,0.29646305,0.69700873,0.00652822
40.0,0.9787,0,0.0213,0,1.0,0,h2o,2-heptanol,lacticacid,0.99104193,0.00068712,0.00827095,0.29962403,0.68683746,0.0135385
40.0,0.9669,0,0.0331,0,1.0,0,h2o,2-heptanol,lacticacid,0.98625048,0.00075822,0.0129913,0.30294484,0.67597271,0.02108245
40.0,0.9543,0,0.0457,0,1.0,0,h2o,2-heptanol,lacticacid,0.98097573,0.0008427,0.01818157,0.30643091,0.66435058,0.02921851
40.0,0.9407,0,0.0593,0,1.0,0,h2o,2-heptanol,lacticacid,0.97513849,0.00094414,0.02391737,0.31009818,0.65188823,0.0380136
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-heptanone,lacticacid,0.99841106,0.00111879,0.00047015,0.09445057,0.9050025,0.00054693
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-heptanone,lacticacid,0.99792799,0.00112882,0.00094319,0.09486234,0.90403983,0.00109783
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-heptanone,lacticacid,0.99695272,0.00114927,0.00189802,0.09569419,0.90209407,0.00221174
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-heptanone,lacticacid,0.99395152,0.00121388,0.00483459,0.09826552,0.89608083,0.00565365
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-heptanone,lacticacid,0.98868121,0.0013338,0.00998499,0.10279063,0.88546259,0.01174678
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-heptanone,lacticacid,0.98304324,0.00147147,0.01548528,0.10767224,0.87399498,0.01833279
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-heptanone,lacticacid,0.97699401,0.00163052,0.02137547,0.11295212,0.86157485,0.02547303
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-heptanone,lacticacid,0.9704829,0.00181547,0.02770164,0.11868673,0.84807378,0.03323949
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-heptanone,lacticacid,0.9986196,0.00094606,0.00043434,0.09754069,0.90188282,0.00057649
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-heptanone,lacticacid,0.99817421,0.00095436,0.00087143,0.09797058,0.90087243,0.00115699
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-heptanone,lacticacid,0.9972747,0.00097127,0.00175403,0.09883871,0.89883114,0.00233015
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-heptanone,lacticacid,0.99450418,0.00102476,0.00447106,0.10151879,0.89253085,0.00595037
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-heptanone,lacticacid,0.9896296,0.00112416,0.00924624,0.10622705,0.88143073,0.01234222
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-heptanone,lacticacid,0.98440118,0.00123849,0.01436033,0.11129279,0.86947926,0.01922795
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-heptanone,lacticacid,0.97877491,0.0013709,0.01985418,0.11675852,0.85657376,0.02666772
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-heptanone,lacticacid,0.97269947,0.00152535,0.02577518,0.12268106,0.84258705,0.0347319
40.0,0.999,0,0.0010033,0,1.0,0,h2o,2-heptanone,lacticacid,0.99876245,0.00083287,0.00040468,0.10134534,0.89805412,0.00060055
40.0,0.998,0,0.0020129,0,1.0,0,h2o,2-heptanone,lacticacid,0.99834798,0.00084001,0.00081201,0.10179007,0.89700482,0.00120511
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-heptanone,lacticacid,0.99751066,0.00085458,0.00163476,0.10268795,0.89488556,0.00242649
40.0,0.9897,0,0.0103,0,1.0,0,h2o,2-heptanone,lacticacid,0.99492961,0.00090067,0.00416972,0.10545797,0.88835021,0.00619182
40.0,0.9787,0,0.0213,0,1.0,0,h2o,2-heptanone,lacticacid,0.99038047,0.00098639,0.00863315,0.11031916,0.87685387,0.01282697
40.0,0.9669,0,0.0331,0,1.0,0,h2o,2-heptanone,lacticacid,0.98548941,0.00108515,0.01342544,0.11554142,0.86450126,0.01995731
40.0,0.9543,0,0.0457,0,1.0,0,h2o,2-heptanone,lacticacid,0.98021214,0.00119976,0.01858809,0.12116826,0.85118944,0.0276423
40.0,0.9407,0,0.0593,0,1.0,0,h2o,2-heptanone,lacticacid,0.97449682,0.00133379,0.02416939,0.12725759,0.8367911,0.03595131
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-hexanol,lacticacid,0.99692209,0.00267213,0.00040579,0.40054205,0.59881021,0.00064774
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-hexanol,lacticacid,0.99649396,0.00269119,0.00081484,0.40090984,0.59779005,0.00130011
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-hexanol,lacticacid,0.99562696,0.0027301,0.00164294,0.40165151,0.59572957,0.00261892
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-hexanol,lacticacid,0.99293644,0.00285331,0.00421026,0.40393538,0.58937315,0.00669146
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-hexanol,lacticacid,0.9881272,0.00308331,0.00878948,0.40791562,0.57819377,0.01389061
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-hexanol,lacticacid,0.98285779,0.00334998,0.01379223,0.41214822,0.56619836,0.02165342
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-hexanol,lacticacid,0.9770525,0.00366225,0.01928525,0.41664619,0.55331005,0.03004376
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-hexanol,lacticacid,0.97062004,0.00403155,0.02534841,0.42146374,0.53939993,0.03913633
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-hexanol,lacticacid,0.99728788,0.00235019,0.00036193,0.38593845,0.61340987,0.00065167
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-hexanol,lacticacid,0.99690729,0.0023658,0.00072691,0.38629511,0.61239691,0.00130798
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-hexanol,lacticacid,0.99613616,0.00239766,0.00146619,0.38701448,0.61035084,0.00263468
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-hexanol,lacticacid,0.99373982,0.00249855,0.00376163,0.38923098,0.60403806,0.00673096
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-hexanol,lacticacid,0.98944408,0.00268697,0.00786895,0.39309942,0.59293061,0.01396997
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-hexanol,lacticacid,0.98471912,0.00290568,0.0123752,0.39721484,0.58101242,0.02177275
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-hexanol,lacticacid,0.97949336,0.00316193,0.01734471,0.40161697,0.56817971,0.03020331
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-hexanol,lacticacid,0.97367704,0.00346565,0.02285732,0.40633097,0.55433409,0.03933494
40.0,0.999,0,0.0010033,0,1.0,0,h2o,2-hexanol,lacticacid,0.99754505,0.00212815,0.00032681,0.37644006,0.62290447,0.00065546
40.0,0.998,0,0.0020129,0,1.0,0,h2o,2-hexanol,lacticacid,0.99720216,0.00214139,0.00065645,0.37679257,0.62189186,0.00131557
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-hexanol,lacticacid,0.99650715,0.00216841,0.00132444,0.37750352,0.61984659,0.0026499
40.0,0.9897,0,0.0103,0,1.0,0,h2o,2-hexanol,lacticacid,0.99434514,0.00225397,0.00340088,0.37969353,0.61353714,0.00676934
40.0,0.9787,0,0.0213,0,1.0,0,h2o,2-hexanol,lacticacid,0.99046086,0.00241379,0.00712535,0.38351492,0.60243711,0.01404798
40.0,0.9669,0,0.0331,0,1.0,0,h2o,2-hexanol,lacticacid,0.98617556,0.00259935,0.01122509,0.38758077,0.59052733,0.0218919
40.0,0.9543,0,0.0457,0,1.0,0,h2o,2-hexanol,lacticacid,0.98141977,0.002817,0.01576323,0.39192483,0.57771,0.03036518
40.0,0.9407,0,0.0593,0,1.0,0,h2o,2-hexanol,lacticacid,0.97610776,0.0030751,0.02081714,0.39659659,0.56386181,0.0395416
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-hexanone,lacticacid,0.99547957,0.00410519,0.00041524,0.12468236,0.874725,0.00059264
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-hexanone,lacticacid,0.99503362,0.00413348,0.0008329,0.12525028,0.87356021,0.00118951
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-hexanone,lacticacid,0.9941336,0.00419093,0.00167548,0.12640714,0.8711967,0.00239616
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-hexanone,lacticacid,0.9913655,0.00437122,0.00426327,0.12997849,0.8638988,0.00612271
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-hexanone,lacticacid,0.98651293,0.00470008,0.00878699,0.13636156,0.85092404,0.0127144
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-hexanone,lacticacid,0.98133364,0.00506957,0.01359679,0.14332436,0.83684435,0.01983129
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-hexanone,lacticacid,0.9757895,0.00548678,0.01872372,0.15093275,0.82153058,0.02753667
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-hexanone,lacticacid,0.96983085,0.00596119,0.02420795,0.15923734,0.8048625,0.03590016
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-hexanone,lacticacid,0.99624605,0.00337238,0.00038157,0.12743231,0.87194959,0.00061809
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-hexanone,lacticacid,0.99583964,0.00339495,0.00076542,0.12801505,0.87074453,0.00124042
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-hexanone,lacticacid,0.99501914,0.00344083,0.00154002,0.12919483,0.8683072,0.00249797
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-hexanone,lacticacid,0.99249477,0.00358467,0.00392056,0.13285965,0.860763,0.00637736
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-hexanone,lacticacid,0.9880644,0.0038472,0.0080884,0.13938444,0.84739227,0.01322329
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-hexanone,lacticacid,0.98332826,0.0041424,0.01252935,0.14648357,0.83292356,0.02059287
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-hexanone,lacticacid,0.97824852,0.00447621,0.01727527,0.15421596,0.81723627,0.02854777
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-hexanone,lacticacid,0.9727779,0.00485629,0.02236581,0.1626473,0.80019567,0.03715703
40.0,0.999,0,0.0010033,0,1.0,0,h2o,2-hexanone,lacticacid,0.99675062,0.00289514,0.00035424,0.13117634,0.86818551,0.00063816
40.0,0.998,0,0.0020129,0,1.0,0,h2o,2-hexanone,lacticacid,0.99637533,0.00291401,0.00071065,0.1317712,0.86694826,0.00128055
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-hexanone,lacticacid,0.99561757,0.00295238,0.00143005,0.13297516,0.86444661,0.00257823
40.0,0.9897,0,0.0103,0,1.0,0,h2o,2-hexanone,lacticacid,0.99328502,0.00307267,0.0036423,0.1367115,0.85671054,0.00657796
40.0,0.9787,0,0.0213,0,1.0,0,h2o,2-hexanone,lacticacid,0.98918684,0.00329233,0.00752083,0.143353,0.84302301,0.01362399
40.0,0.9669,0,0.0331,0,1.0,0,h2o,2-hexanone,lacticacid,0.98479886,0.00353952,0.01166161,0.15056538,0.82824219,0.02119243
40.0,0.9543,0,0.0457,0,1.0,0,h2o,2-hexanone,lacticacid,0.9800839,0.00381939,0.01609672,0.15840866,0.81224718,0.02934416
40.0,0.9407,0,0.0593,0,1.0,0,h2o,2-hexanone,lacticacid,0.97499558,0.00413852,0.0208659,0.1669521,0.7949003,0.0381476
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-nonanol,lacticacid,0.99934657,4.6927e-05,0.0006065,0.18916786,0.81035709,0.00047505
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-nonanol,lacticacid,0.99873463,4.7698e-05,0.00121767,0.18929384,0.80975291,0.00095324
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-nonanol,lacticacid,0.99749652,4.9289e-05,0.00245419,0.1895523,0.80852846,0.00191924
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-nonanol,lacticacid,0.9936643,5.4487e-05,0.00628121,0.19032639,0.80477742,0.00489619
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-nonanol,lacticacid,0.98685747,6.4796e-05,0.01307774,0.19165983,0.79820136,0.01013881
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-nonanol,lacticacid,0.97947249,7.7676e-05,0.02044984,0.19305467,0.79117674,0.01576859
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-nonanol,lacticacid,0.97143868,9.3916e-05,0.02846741,0.19450386,0.7836636,0.02183254
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-nonanol,lacticacid,0.9626758,0.00011457,0.03720963,0.19601912,0.77559317,0.02838771
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-nonanol,lacticacid,0.99940248,4.375e-05,0.00055377,0.1869779,0.81251348,0.00050862
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-nonanol,lacticacid,0.99884354,4.4435e-05,0.00111202,0.18712975,0.81184974,0.00102051
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-nonanol,lacticacid,0.99771198,4.5847e-05,0.00224218,0.18744013,0.81050558,0.00205429
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-nonanol,lacticacid,0.9942036,5.046e-05,0.00574594,0.18837221,0.80639009,0.0052377
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-nonanol,lacticacid,0.98794988,5.9599e-05,0.01199052,0.18997549,0.79919011,0.0108344
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-nonanol,lacticacid,0.98113318,7.1018e-05,0.0187958,0.19164782,0.79152239,0.01682979
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-nonanol,lacticacid,0.97368025,8.543e-05,0.02623432,0.19338155,0.78334923,0.02326923
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-nonanol,lacticacid,0.96550733,0.0001038,0.03438887,0.19518736,0.77460527,0.03020737
40.0,0.999,0,0.0010033,0,1.0,0,h2o,2-nonanol,lacticacid,0.99944866,4.2088e-05,0.00050926,0.18610978,0.81335319,0.00053703
40.0,0.998,0,0.0020129,0,1.0,0,h2o,2-nonanol,lacticacid,0.99893448,4.2716e-05,0.0010228,0.18628421,0.81263831,0.00107748
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-nonanol,lacticacid,0.997893,4.4012e-05,0.00206299,0.18663517,0.81119607,0.00216876
40.0,0.9897,0,0.0103,0,1.0,0,h2o,2-nonanol,lacticacid,0.99465969,4.8238e-05,0.00529208,0.187705,0.80676698,0.00552802
40.0,0.9787,0,0.0213,0,1.0,0,h2o,2-nonanol,lacticacid,0.98887986,5.6599e-05,0.01106354,0.18954518,0.79902612,0.01142871
40.0,0.9669,0,0.0331,0,1.0,0,h2o,2-nonanol,lacticacid,0.98255533,6.7034e-05,0.01737764,0.19146357,0.79079516,0.01774127
40.0,0.9543,0,0.0457,0,1.0,0,h2o,2-nonanol,lacticacid,0.97561091,8.0204e-05,0.02430889,0.19345148,0.78203853,0.02451
40.0,0.9407,0,0.0593,0,1.0,0,h2o,2-nonanol,lacticacid,0.96795998,9.7008e-05,0.03194301,0.19551953,0.77269273,0.03178775
20.0,0.999,0,0.0010033,0,1.0,0,h2o,2-nonanone,lacticacid,0.99932601,8.0556e-05,0.00059343,0.05698493,0.94258515,0.00042992
20.0,0.998,0,0.0020129,0,1.0,0,h2o,2-nonanone,lacticacid,0.99872738,8.1762e-05,0.00119085,0.05720122,0.94193589,0.00086288
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-nonanone,lacticacid,0.99751796,8.4242e-05,0.0023978,0.05763774,0.9406242,0.00173806
20.0,0.9897,0,0.0103,0,1.0,0,h2o,2-nonanone,lacticacid,0.99378927,9.2265e-05,0.00611847,0.05897968,0.93658006,0.00444026
20.0,0.9787,0,0.0213,0,1.0,0,h2o,2-nonanone,lacticacid,0.98721907,0.00010787,0.01267306,0.06133737,0.92944398,0.00921865
20.0,0.9669,0,0.0331,0,1.0,0,h2o,2-nonanone,lacticacid,0.98016119,0.00012689,0.01971193,0.0638523,0.9217699,0.0143778
20.0,0.9543,0,0.0457,0,1.0,0,h2o,2-nonanone,lacticacid,0.97256131,0.00015023,0.02728847,0.06655779,0.91347233,0.01996987
20.0,0.9407,0,0.0593,0,1.0,0,h2o,2-nonanone,lacticacid,0.96435647,0.0001791,0.03546443,0.06947892,0.90446459,0.02605648
30.0,0.999,0,0.0010033,0,1.0,0,h2o,2-nonanone,lacticacid,0.99937396,7.0175e-05,0.00055587,0.05951661,0.94001905,0.00046434
30.0,0.998,0,0.0020129,0,1.0,0,h2o,2-nonanone,lacticacid,0.99881317,7.1212e-05,0.00111562,0.05975242,0.93931579,0.00093179
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,2-nonanone,lacticacid,0.99767968,7.3347e-05,0.00224698,0.06022802,0.93789586,0.00187612
30.0,0.9897,0,0.0103,0,1.0,0,h2o,2-nonanone,lacticacid,0.99418091,8.026e-05,0.00573882,0.06168774,0.93352507,0.0047872
30.0,0.9787,0,0.0213,0,1.0,0,h2o,2-nonanone,lacticacid,0.98800029,9.3733e-05,0.01190597,0.06424352,0.92583848,0.009918
30.0,0.9669,0,0.0331,0,1.0,0,h2o,2-nonanone,lacticacid,0.98133841,0.00011021,0.01855138,0.06695906,0.9176071,0.01543384
30.0,0.9543,0,0.0457,0,1.0,0,h2o,2-nonanone,lacticacid,0.97413892,0.00013051,0.02573058,0.06986847,0.9087461,0.02138543
30.0,0.9407,0,0.0593,0,1.0,0,h2o,2-nonanone,lacticacid,0.96633634,0.00015573,0.03350793,0.0729971,0.89917037,0.02783252
