Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,COSMO_name,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output,SMILES,KV
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-decanol,lacticacid,0.97983728,1.2048e-05,0.02015067,0.11502721,0.8703316,0.01464119,OCCCCCCCCCC,0.7265857661308532
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-decanol,lacticacid,0.97181096,1.5274e-05,0.02817377,0.1160643,0.86381497,0.02012073,OCCCCCCCCCC,0.7141653388950077
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-decanol,lacticacid,0.96298857,1.9604e-05,0.03699183,0.11714273,0.85689966,0.02595761,OCCCCCCCCCC,0.7017119726166561
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-heptanol,lacticacid,0.99911622,0.0003335,0.00055029,0.17696997,0.82252239,0.00050764,OCCCCCCC,0.9224954115102945
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-heptanol,lacticacid,0.99855787,0.00033753,0.0011046,0.1771755,0.82180571,0.00101879,OCCCCCCC,0.9223157704146298
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-heptanol,lacticacid,0.99742877,0.0003458,0.00222542,0.1775959,0.82035226,0.00205184,OCCCCCCC,0.9220012402153301
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-heptanol,lacticacid,0.99393855,0.00037237,0.00568908,0.17887523,0.81588533,0.00523943,OCCCCCCC,0.9209626160996154
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-heptanol,lacticacid,0.98775517,0.0004232,0.01182162,0.18112326,0.8080093,0.01086743,OCCCCCCC,0.9192843282054406
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-heptanol,lacticacid,0.98106742,0.00048392,0.01844866,0.18353736,0.79953158,0.01693106,OCCCCCCC,0.9177392829614727
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-heptanol,lacticacid,0.97381348,0.00055699,0.02562953,0.1861294,0.79038573,0.02348486,OCCCCCCC,0.9163203539042658
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-heptanol,lacticacid,0.96592132,0.0006456,0.03343308,0.18891746,0.7804896,0.03059293,OCCCCCCC,0.9150497052619742
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-heptanol,lacticacid,0.99918364,0.00031488,0.00050148,0.17791267,0.82154694,0.00054039,OCCCCCCC,1.0775903326154581
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-heptanol,lacticacid,0.99867471,0.0003185,0.0010068,0.17814346,0.82077212,0.00108442,OCCCCCCC,1.0770957489074295
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-heptanol,lacticacid,0.99764501,0.00032591,0.00202908,0.17861479,0.81920161,0.00218359,OCCCCCCC,1.0761478108305242
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-heptanol,lacticacid,0.99445758,0.00034971,0.00519271,0.18004874,0.81437877,0.00557249,OCCCCCCC,1.0731371480402334
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-heptanol,lacticacid,0.98879412,0.00039523,0.01081065,0.18256714,0.80588712,0.01154574,OCCCCCCC,1.0679968364529424
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-heptanol,lacticacid,0.98264382,0.00044962,0.01690655,0.18524999,0.79678457,0.01796544,OCCCCCCC,1.0626319385090395
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-heptanol,lacticacid,0.97594389,0.00051513,0.02354098,0.18812358,0.7869911,0.02488532,OCCCCCCC,1.0571063736513944
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-heptanol,lacticacid,0.96861954,0.00059473,0.03078573,0.19119958,0.77643327,0.03236715,OCCCCCCC,1.0513686048698536
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-heptanol,lacticacid,0.99923477,0.00030504,0.00046019,0.18009146,0.81934074,0.0005678,OCCCCCCC,1.2338381972663466
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-heptanol,lacticacid,0.99876761,0.00030837,0.00092402,0.18034503,0.81851561,0.00113936,OCCCCCCC,1.2330469037466723
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-heptanol,lacticacid,0.99782203,0.0003152,0.00186277,0.18085677,0.81684928,0.00229394,OCCCCCCC,1.231467116176447
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-heptanol,lacticacid,0.99489184,0.00033708,0.00477108,0.18242948,0.8117184,0.00585212,OCCCCCCC,1.2265818221450908
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-heptanol,lacticacid,0.98967316,0.00037891,0.00994794,0.18518817,0.80269429,0.01211754,OCCCCCCC,1.218095404676747
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-heptanol,lacticacid,0.98398729,0.00042886,0.01558385,0.18812126,0.79303709,0.01884165,OCCCCCCC,1.209049753430635
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-heptanol,lacticacid,0.9777704,0.00048903,0.02174058,0.1912545,0.78266815,0.02607735,OCCCCCCC,1.1994781187990384
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-heptanol,lacticacid,0.97094593,0.0005622,0.02849187,0.19460008,0.77151486,0.03388507,OCCCCCCC,1.1892890849214182
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-hexanol,lacticacid,0.99818527,0.00133419,0.00048054,0.25400296,0.74541923,0.00057781,OCCCCCC,1.2024181129562574
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-hexanol,lacticacid,0.99768908,0.00134634,0.00096458,0.25433049,0.74450975,0.00115976,OCCCCCC,1.202347135540857
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-hexanol,lacticacid,0.99668556,0.00137115,0.00194328,0.25499902,0.74266469,0.00233629,OCCCCCC,1.2022405417644395
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-hexanol,lacticacid,0.99358236,0.00145004,0.0049676,0.25704379,0.73698625,0.00596996,OCCCCCC,1.2017795313632338
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-hexanol,lacticacid,0.98807954,0.00159794,0.01032252,0.26066017,0.72694316,0.01239667,OCCCCCC,1.2009344617399627
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-hexanol,lacticacid,0.98211755,0.00177019,0.01611226,0.2645538,0.71611292,0.01933328,OCCCCCC,1.1999111235791877
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-hexanol,lacticacid,0.97563517,0.00197229,0.02239254,0.26875697,0.70440182,0.02684121,OCCCCCC,1.1986675026593678
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-hexanol,lacticacid,0.96855918,0.00221134,0.02922948,0.27330571,0.69170281,0.03499148,OCCCCCC,1.1971297470909505
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-hexanol,lacticacid,0.99832729,0.00123922,0.00043349,0.25205428,0.74734502,0.0006007,OCCCCCC,1.385729774619945
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-hexanol,lacticacid,0.99787989,0.00124982,0.00087029,0.25239746,0.74639693,0.00120561,OCCCCCC,1.385296855071298
